special_token_size	1
token_size	59
singleton_size	3
singleton_max_count	1
0	*UNK*	1
1	e	10416
2	t	7362
3	a	7017
4	i	5843
5	o	5708
6	s	5465
7	r	4772
8	n	4667
9	h	3974
10	d	3312
11	l	3235
12	c	2385
13	u	2153
14	f	1874
15	w	1744
16	y	1744
17	m	1632
18	g	1631
19	p	1624
20	.	1400
21	b	1265
22	v	1193
23	,	834
24	k	598
25	z	284
26	'	249
27	-	218
28	x	189
29	!	184
30	j	126
31	q	86
32	)	76
33	(	71
34	–	40
35	0	36
36	:	25
37	$	25
38	1	23
39	2	20
40	5	20
41	/	16
42	’	15
43	;	15
44	3	12
45	8	10
46	4	9
47	&	8
48	?	7
49	6	7
50	`	6
51	7	5
52	*	5
53	9	4
54	+	3
55	%	2
56	é	2
57	@	1
58	#	1
59	=	1
