special_token_size	1
token_size	44
singleton_size	0
singleton_max_count	1
0	*PAD*	1
1	NN	3380
2	JJ	2407
3	DT	2164
4	IN	1507
5	.	1390
6	RB	1390
7	PRP	1005
8	CC	947
9	VBD	924
10	,	872
11	VBZ	675
12	NNS	674
13	VB	541
14	NNP	532
15	VBP	491
16	VBN	303
17	PRP$	276
18	TO	192
19	MD	177
20	VBG	162
21	CD	145
22	HYPH	140
23	JJS	125
24	WDT	113
25	:	102
26	-RRB-	77
27	-LRB-	71
28	RP	61
29	JJR	49
30	WP	47
31	WRB	45
32	POS	43
33	SYM	41
34	UH	33
35	''	26
36	EX	26
37	$	25
38	PDT	25
39	RBS	19
40	RBR	16
41	FW	15
42	NFP	10
43	NNPS	7
44	``	5
