special_token_size	1
token_size	2912
singleton_size	1636
singleton_max_count	1
0	*UNK*	1
1	the	1343
2	.	1170
3	,	834
4	and	712
5	is	482
6	was	440
7	a	424
8	i	389
9	food	304
10	to	298
11	of	246
12	great	216
13	service	198
14	in	191
15	it	190
16	good	185
17	!	184
18	place	178
19	for	172
20	this	171
21	but	159
22	you	141
23	that	134
24	with	127
25	not	126
26	are	122
27	very	117
28	we	112
29	had	112
30	my	110
31	have	106
32	were	93
33	on	91
34	restaurant	90
35	's	87
36	best	84
37	so	78
38	at	77
39	)	76
40	they	75
41	n't	72
42	be	72
43	(	71
44	pizza	70
45	...	69
46	all	67
47	as	63
48	sushi	59
49	delicious	59
50	which	58
51	staff	57
52	-	56
53	nice	56
54	their	56
55	if	52
56	there	51
57	excellent	50
58	really	50
59	or	48
60	like	47
61	always	44
62	our	44
63	an	44
64	can	43
65	too	43
66	one	42
67	by	42
68	menu	41
69	atmosphere	41
70	get	41
71	here	40
72	–	40
73	friendly	39
74	never	38
75	out	38
76	has	37
77	would	37
78	love	37
79	been	36
80	just	36
81	fresh	36
82	amazing	36
83	your	34
84	wine	33
85	fish	33
86	about	33
87	've	32
88	do	31
89	decor	31
90	even	30
91	from	30
92	well	29
93	only	29
94	time	29
95	go	28
96	try	27
97	more	27
98	what	27
99	tasty	26
100	ever	26
101	--	26
102	recommend	26
103	also	26
104	$	25
105	us	25
106	meal	25
107	when	25
108	dishes	25
109	:	24
110	prices	24
111	drinks	24
112	some	24
113	dinner	23
114	me	23
115	price	23
116	most	23
117	special	23
118	up	23
119	fantastic	23
120	attentive	23
121	worth	23
122	bad	23
123	though	23
124	small	22
125	wait	22
126	perfect	22
127	back	22
128	chicken	21
129	spot	21
130	quality	21
131	people	21
132	than	21
133	selection	21
134	average	20
135	no	20
136	over	20
137	wonderful	20
138	everything	20
139	indian	20
140	much	20
141	who	20
142	make	19
143	did	19
144	made	19
145	night	19
146	bit	19
147	eat	19
148	list	19
149	way	19
150	will	19
151	pretty	18
152	new	18
153	city	18
154	however	18
155	highly	18
156	its	18
157	got	18
158	ok	17
159	waiter	17
160	times	17
161	rolls	17
162	're	17
163	feel	17
164	experience	17
165	order	17
166	japanese	17
167	better	17
168	favorite	17
169	little	17
170	ambience	16
171	portions	16
172	world	16
173	could	16
174	fun	16
175	dessert	16
176	both	16
177	nothing	15
178	thai	15
179	sake	15
180	bar	15
181	rice	15
182	top	15
183	any	15
184	’	15
185	;	15
186	nyc	15
187	every	15
188	while	15
189	rude	14
190	lobster	14
191	thing	14
192	being	14
193	roll	14
194	say	14
195	romantic	14
196	salad	14
197	tuna	13
198	other	13
199	different	13
200	warm	13
201	such	13
202	am	13
203	friends	13
204	fast	13
205	ordered	13
206	appetizer	13
207	big	13
208	incredible	13
209	huge	13
210	cheese	13
211	enjoyed	13
212	enjoy	13
213	want	13
214	poor	12
215	served	12
216	especially	12
217	lunch	12
218	overpriced	12
219	once	12
220	does	12
221	years	12
222	restaurants	12
223	tasted	12
224	bland	12
225	music	12
226	beautiful	12
227	york	11
228	down	11
229	should	11
230	how	11
231	sauce	11
232	last	11
233	found	11
234	salmon	11
235	must	11
236	because	11
237	side	11
238	although	11
239	seafood	11
240	dish	11
241	location	11
242	before	10
243	family	10
244	extremely	10
245	think	10
246	awesome	10
247	hot	10
248	after	10
249	table	10
250	crust	10
251	went	10
252	enough	10
253	'd	10
254	serve	10
255	room	10
256	ca	10
257	friend	10
258	sure	10
259	area	10
260	again	10
261	spicy	10
262	shrimp	10
263	quite	10
264	far	10
265	absolutely	10
266	mediocre	10
267	neighborhood	10
268	worst	10
269	horrible	10
270	high	10
271	expensive	10
272	may	10
273	her	9
274	evening	9
275	many	9
276	he	9
277	chinese	9
278	going	9
279	off	9
280	taste	9
281	reasonable	9
282	authentic	9
283	delivery	9
284	probably	9
285	took	9
286	day	9
287	tried	9
288	outside	9
289	cheap	9
290	cool	9
291	lot	9
292	yummy	9
293	dining	9
294	tiny	9
295	away	9
296	take	9
297	around	9
298	ambiance	9
299	fine	9
300	two	9
301	simply	9
302	sometimes	9
303	come	9
304	first	9
305	check	9
306	flavor	8
307	salads	8
308	else	8
309	makes	8
310	things	8
311	loved	8
312	into	8
313	la	8
314	ingredients	8
315	glass	8
316	cooked	8
317	date	8
318	sweet	8
319	cozy	8
320	grilled	8
321	pleasant	8
322	see	8
323	casual	8
324	reviews	8
325	prompt	8
326	helpful	8
327	entree	8
328	kind	8
329	still	8
330	decent	8
331	italian	8
332	fried	8
333	gets	8
334	definitely	8
335	priced	8
336	waiters	8
337	prepared	8
338	completely	8
339	left	8
340	busy	8
341	cold	8
342	drink	8
343	extensive	8
344	servers	8
345	real	8
346	server	8
347	customer	8
348	crab	8
349	pancakes	8
350	&	8
351	appetizers	7
352	ny	7
353	eaten	7
354	cute	7
355	large	7
356	''	7
357	chef	7
358	several	7
359	deal	7
360	since	7
361	came	7
362	totally	7
363	pasta	7
364	limited	7
365	either	7
366	places	7
367	outstanding	7
368	quick	7
369	seating	7
370	slow	7
371	spectacular	7
372	few	7
373	garden	7
374	5	7
375	four	7
376	them	7
377	right	7
378	creative	7
379	another	7
380	seen	7
381	almost	7
382	now	7
383	die	7
384	oily	7
385	soup	7
386	sea	7
387	beer	7
388	where	7
389	looking	7
390	value	7
391	husband	7
392	overall	7
393	pricey	7
394	thought	7
395	feeling	7
396	portion	7
397	pork	7
398	potatoes	7
399	bagels	7
400	fabulous	7
401	s	7
402	dumplings	7
403	happy	7
404	long	7
405	scallops	7
406	sashimi	7
407	unique	7
408	?	7
409	disappointed	7
410	crowded	7
411	house	7
412	town	7
413	ray	7
414	find	6
415	party	6
416	pad	6
417	manager	6
418	impressed	6
419	exceptional	6
420	sat	6
421	wines	6
422	t	6
423	those	6
424	yes	6
425	expect	6
426	professional	6
427	intimate	6
428	setting	6
429	dry	6
430	keep	6
431	work	6
432	bread	6
433	she	6
434	green	6
435	above	6
436	thin	6
437	these	6
438	manhattan	6
439	lamb	6
440	sum	6
441	simple	6
442	without	6
443	fair	6
444	'm	6
445	waitress	6
446	belly	6
447	dogs	6
448	10	6
449	tasting	6
450	bottle	6
451	filet	6
452	superb	6
453	meals	6
454	space	6
455	specials	6
456	rather	6
457	part	6
458	view	6
459	everyone	6
460	sandwich	6
461	getting	6
462	freshest	6
463	2	6
464	goat	6
465	bathroom	6
466	3	6
467	blue	6
468	prawns	6
469	mioposto	6
470	seattle	6
471	problem	5
472	traditional	5
473	hands	5
474	terrible	5
475	same	5
476	brooklyn	5
477	yet	5
478	vibe	5
479	considering	5
480	waitstaff	5
481	relaxed	5
482	saturday	5
483	visiting	5
484	disappointing	5
485	piece	5
486	slightly	5
487	bite	5
488	often	5
489	toppings	5
490	expected	5
491	least	5
492	cafe	5
493	seemed	5
494	actually	5
495	liked	5
496	outdoor	5
497	need	5
498	clean	5
499	look	5
500	modern	5
501	through	5
502	fancy	5
503	someone	5
504	visit	5
505	disgusting	5
506	money	5
507	interesting	5
508	customers	5
509	trip	5
510	dim	5
511	fairly	5
512	steak	5
513	know	5
514	wife	5
515	recently	5
516	give	5
517	accomodating	5
518	course	5
519	lovely	5
520	terrific	5
521	size	5
522	spinach	5
523	seat	5
524	french	5
525	juice	5
526	year	5
527	asked	5
528	main	5
529	sitting	5
530	plate	5
531	live	5
532	front	5
533	variety	5
534	certainly	5
535	water	5
536	might	5
537	three	5
538	charming	5
539	affordable	5
540	east	5
541	village	5
542	write	5
543	offers	5
544	margaritas	5
545	fix	4
546	particularly	4
547	inside	4
548	soggy	4
549	bbq	4
550	low	4
551	then	4
552	ask	4
553	slice	4
554	style	4
555	walls	4
556	calamari	4
557	filling	4
558	casa	4
559	femme	4
560	couple	4
561	ravioli	4
562	maybe	4
563	super	4
564	joint	4
565	occasion	4
566	eating	4
567	having	4
568	except	4
569	regular	4
570	girlfriend	4
571	barely	4
572	wrong	4
573	relax	4
574	ate	4
575	mean	4
576	needs	4
577	white	4
578	dog	4
579	establishment	4
580	chocolate	4
581	tea	4
582	consistently	4
583	lemon	4
584	nicest	4
585	business	4
586	bagel	4
587	generally	4
588	use	4
589	said	4
590	bartender	4
591	red	4
592	group	4
593	okay	4
594	jekyll	4
595	hyde	4
596	mashed	4
597	including	4
598	tell	4
599	views	4
600	entire	4
601	received	4
602	half	4
603	incredibly	4
604	beef	4
605	done	4
606	suan	4
607	gem	4
608	conversation	4
609	black	4
610	cream	4
611	courteous	4
612	gorgeous	4
613	home	4
614	reasonably	4
615	cake	4
616	full	4
617	mizu	4
618	itself	4
619	coffee	4
620	caviar	4
621	felt	4
622	delight	4
623	mahi	4
624	tables	4
625	typical	4
626	offer	4
627	able	4
628	meat	4
629	free	4
630	frozen	4
631	guests	4
632	fact	4
633	lacking	4
634	re	4
635	paid	4
636	late	4
637	tons	4
638	put	4
639	hostess	4
640	shared	4
641	oh	4
642	wo	4
643	egg	4
644	usually	4
645	something	4
646	recommended	4
647	15	4
648	notch	4
649	delightful	4
650	seated	4
651	hour	4
652	minutes	4
653	eggs	4
654	brunch	4
655	asparagus	4
656	upon	4
657	given	4
658	relaxing	4
659	penne	4
660	open	4
661	plus	4
662	cut	4
663	breakfast	4
664	stuff	3
665	crowd	3
666	``	3
667	daring	3
668	boyfriend	3
669	hang	3
670	mind	3
671	unfriendly	3
672	looks	3
673	fixe	3
674	prix	3
675	weird	3
676	stairs	3
677	consider	3
678	salty	3
679	margherita	3
680	rush	3
681	comfortable	3
682	point	3
683	cramped	3
684	private	3
685	bistro	3
686	anything	3
687	fill	3
688	save	3
689	called	3
690	his	3
691	pacifico	3
692	patio	3
693	recent	3
694	sunday	3
695	doing	3
696	sit	3
697	4	3
698	8	3
699	read	3
700	overrated	3
701	under	3
702	enormous	3
703	veal	3
704	arrived	3
705	empty	3
706	tempura	3
707	share	3
708	ordering	3
709	river	3
710	hidden	3
711	secret	3
712	saul	3
713	started	3
714	ones	3
715	kitchen	3
716	lucky	3
717	following	3
718	spice	3
719	past	3
720	jazz	3
721	rao	3
722	tasteless	3
723	personally	3
724	20	3
725	surprise	3
726	early	3
727	management	3
728	agreed	3
729	hand	3
730	lousy	3
731	'	3
732	return	3
733	exactly	3
734	leaves	3
735	rushed	3
736	reason	3
737	despite	3
738	rare	3
739	anyone	3
740	cod	3
741	wish	3
742	longer	3
743	girl	3
744	planet	3
745	duck	3
746	sooo	3
747	'll	3
748	hummus	3
749	included	3
750	greatest	3
751	awful	3
752	avenue	3
753	courses	3
754	perfectly	3
755	mignon	3
756	attractive	3
757	tender	3
758	packed	3
759	scene	3
760	light	3
761	previous	3
762	young	3
763	guys	3
764	major	3
765	attitude	3
766	seems	3
767	owner	3
768	months	3
769	pay	3
770	guest	3
771	remember	3
772	appropriate	3
773	desserts	3
774	chips	3
775	eater	3
776	interior	3
777	each	3
778	nights	3
779	mushroom	3
780	extra	3
781	means	3
782	alot	3
783	mozzarella	3
784	instead	3
785	definately	3
786	smoked	3
787	caesar	3
788	reliable	3
789	crispy	3
790	skip	3
791	disappointment	3
792	environment	3
793	week	3
794	fries	3
795	quickly	3
796	oysters	3
797	clams	3
798	imagine	3
799	coming	3
800	watching	3
801	eggplant	3
802	innovative	3
803	risotto	3
804	lack	3
805	literally	3
806	chow	3
807	exceeded	3
808	expectations	3
809	impeccable	3
810	6	3
811	walked	3
812	pastas	3
813	lol	3
814	noisy	3
815	believe	3
816	street	3
817	review	3
818	appetizing	3
819	describe	3
820	sound	3
821	hard	3
822	stomach	3
823	bill	3
824	waited	3
825	rocks	3
826	avoid	3
827	impressive	3
828	forget	3
829	less	3
830	choice	3
831	larger	3
832	murphy	3
833	specialty	3
834	um	3
835	crew	2
836	serving	2
837	downtown	2
838	prixe	2
839	gave	2
840	potato	2
841	40	2
842	pieces	2
843	relatively	2
844	nigiri	2
845	memorable	2
846	friendliest	2
847	tacos	2
848	choices	2
849	awsome	2
850	flight	2
851	mirrored	2
852	surprised	2
853	head	2
854	enjoying	2
855	soy	2
856	scallion	2
857	touch	2
858	gives	2
859	true	2
860	weeks	2
861	ago	2
862	fully	2
863	company	2
864	brasserie	2
865	holiday	2
866	cheesecake	2
867	short	2
868	meeting	2
869	difficult	2
870	parisian	2
871	disgusted	2
872	likely	2
873	oyster	2
874	knew	2
875	24	2
876	flatbush	2
877	inedible	2
878	shabu	2
879	fridays	2
880	summer	2
881	gigantic	2
882	shows	2
883	afternoon	2
884	entrees	2
885	lived	2
886	amazed	2
887	add	2
888	yourself	2
889	twice	2
890	tastes	2
891	freshly	2
892	baked	2
