lr;epoch;iteration;global_iteration
7.434944237918216e-08;0;1;1
1.4869888475836432e-07;0;2;2
2.2304832713754647e-07;0;3;3
2.9739776951672865e-07;0;4;4
3.7174721189591085e-07;0;5;5
4.4609665427509294e-07;0;6;6
5.204460966542751e-07;0;7;7
5.947955390334573e-07;0;8;8
6.691449814126394e-07;0;9;9
7.434944237918217e-07;0;10;10
8.178438661710038e-07;0;11;11
8.921933085501859e-07;0;12;12
9.665427509293682e-07;0;13;13
1.0408921933085502e-06;0;14;14
1.1152416356877324e-06;0;15;15
1.1895910780669146e-06;0;16;16
1.2639405204460966e-06;0;17;17
1.3382899628252788e-06;0;18;18
1.4126394052044612e-06;0;19;19
1.4869888475836434e-06;0;20;20
1.5613382899628254e-06;0;21;21
1.6356877323420076e-06;0;22;22
1.7100371747211898e-06;0;23;23
1.7843866171003718e-06;0;24;24
1.858736059479554e-06;0;25;25
1.9330855018587364e-06;0;26;26
2.0074349442379186e-06;0;27;27
2.0817843866171004e-06;0;28;28
2.1561338289962826e-06;0;29;29
2.2304832713754648e-06;0;30;30
2.304832713754647e-06;0;31;31
2.379182156133829e-06;0;32;32
2.4535315985130114e-06;0;33;33
2.527881040892193e-06;0;34;34
2.6022304832713758e-06;0;35;35
2.6765799256505576e-06;0;36;36
2.75092936802974e-06;0;37;37
2.8252788104089224e-06;0;38;38
2.899628252788104e-06;0;39;39
2.973977695167287e-06;0;40;40
3.0483271375464686e-06;0;41;41
3.1226765799256508e-06;0;42;42
3.1970260223048326e-06;0;43;43
3.271375464684015e-06;0;44;44
3.3457249070631974e-06;0;45;45
3.4200743494423796e-06;0;46;46
3.4944237918215618e-06;0;47;47
3.5687732342007436e-06;0;48;48
3.643122676579926e-06;0;49;49
3.717472118959108e-06;0;50;50
3.79182156133829e-06;0;51;51
3.866171003717473e-06;0;52;52
3.9405204460966546e-06;0;53;53
4.014869888475837e-06;0;54;54
4.089219330855019e-06;0;55;55
4.163568773234201e-06;0;56;56
4.237918215613383e-06;0;57;57
4.312267657992565e-06;0;58;58
4.386617100371748e-06;0;59;59
4.4609665427509296e-06;0;60;60
4.535315985130112e-06;0;61;61
4.609665427509294e-06;0;62;62
4.684014869888477e-06;0;63;63
4.758364312267658e-06;0;64;64
4.83271375464684e-06;0;65;65
4.907063197026023e-06;0;66;66
4.9814126394052045e-06;0;67;67
5.055762081784386e-06;0;68;68
5.130111524163569e-06;0;69;69
5.2044609665427516e-06;0;70;70
5.278810408921934e-06;0;71;71
5.353159851301115e-06;0;72;72
5.427509293680298e-06;0;73;73
5.50185873605948e-06;0;74;74
5.576208178438662e-06;0;75;75
5.650557620817845e-06;0;76;76
5.724907063197026e-06;0;77;77
5.799256505576208e-06;0;78;78
5.873605947955391e-06;0;79;79
5.947955390334574e-06;0;80;80
6.022304832713755e-06;0;81;81
6.096654275092937e-06;0;82;82
6.17100371747212e-06;0;83;83
6.2453531598513015e-06;0;84;84
6.319702602230484e-06;0;85;85
6.394052044609665e-06;0;86;86
6.468401486988848e-06;0;87;87
6.54275092936803e-06;0;88;88
6.617100371747213e-06;0;89;89
6.691449814126395e-06;0;90;90
6.7657992565055765e-06;0;91;91
6.840148698884759e-06;0;92;92
6.914498141263941e-06;0;93;93
6.9888475836431236e-06;0;94;94
7.063197026022306e-06;0;95;95
7.137546468401487e-06;0;96;96
7.21189591078067e-06;0;97;97
7.286245353159852e-06;0;98;98
7.360594795539034e-06;0;99;99
7.434944237918216e-06;0;100;100
7.5092936802973985e-06;0;101;101
7.58364312267658e-06;0;102;102
7.657992565055762e-06;0;103;103
7.732342007434946e-06;0;104;104
7.806691449814127e-06;0;105;105
7.881040892193309e-06;0;106;106
7.955390334572491e-06;0;107;107
8.029739776951674e-06;0;108;108
8.104089219330854e-06;0;109;109
8.178438661710038e-06;0;110;110
8.25278810408922e-06;0;111;111
8.327137546468401e-06;0;112;112
8.401486988847585e-06;0;113;113
8.475836431226767e-06;0;114;114
8.550185873605949e-06;0;115;115
8.62453531598513e-06;0;116;116
8.698884758364314e-06;0;117;117
8.773234200743496e-06;0;118;118
8.847583643122677e-06;0;119;119
8.921933085501859e-06;0;120;120
8.996282527881041e-06;0;121;121
9.070631970260224e-06;0;122;122
9.144981412639406e-06;0;123;123
9.219330855018588e-06;0;124;124
9.29368029739777e-06;0;125;125
9.368029739776953e-06;0;126;126
9.442379182156135e-06;0;127;127
9.516728624535317e-06;0;128;128
9.591078066914498e-06;0;129;129
9.66542750929368e-06;0;130;130
9.739776951672864e-06;0;131;131
9.814126394052046e-06;0;132;132
9.888475836431227e-06;0;133;133
9.962825278810409e-06;0;134;134
1.0037174721189591e-05;0;135;135
1.0111524163568773e-05;0;136;136
1.0185873605947956e-05;0;137;137
1.0260223048327138e-05;0;138;138
1.0334572490706321e-05;0;139;139
1.0408921933085503e-05;0;140;140
1.0483271375464685e-05;0;141;141
1.0557620817843868e-05;0;142;142
1.063197026022305e-05;0;143;143
1.070631970260223e-05;0;144;144
1.0780669144981412e-05;0;145;145
1.0855018587360596e-05;0;146;146
1.0929368029739777e-05;0;147;147
1.100371747211896e-05;0;148;148
1.1078066914498143e-05;0;149;149
1.1152416356877324e-05;0;150;150
1.1226765799256508e-05;0;151;151
1.130111524163569e-05;0;152;152
1.1375464684014871e-05;0;153;153
1.1449814126394051e-05;0;154;154
1.1524163568773235e-05;0;155;155
1.1598513011152417e-05;0;156;156
1.16728624535316e-05;0;157;157
1.1747211895910782e-05;0;158;158
1.1821561338289964e-05;0;159;159
1.1895910780669147e-05;0;160;160
1.1970260223048329e-05;0;161;161
1.204460966542751e-05;0;162;162
1.211895910780669e-05;0;163;163
1.2193308550185874e-05;0;164;164
1.2267657992565056e-05;0;165;165
1.234200743494424e-05;0;166;166
1.2416356877323421e-05;0;167;167
1.2490706319702603e-05;0;168;168
1.2565055762081787e-05;0;169;169
1.2639405204460968e-05;0;170;170
1.271375464684015e-05;0;171;171
1.278810408921933e-05;0;172;172
1.2862453531598514e-05;0;173;173
1.2936802973977695e-05;0;174;174
1.3011152416356879e-05;0;175;175
1.308550185873606e-05;0;176;176
1.3159851301115242e-05;0;177;177
1.3234200743494426e-05;0;178;178
1.3308550185873608e-05;0;179;179
1.338289962825279e-05;0;180;180
1.345724907063197e-05;0;181;181
1.3531598513011153e-05;0;182;182
1.3605947955390335e-05;0;183;183
1.3680297397769518e-05;0;184;184
1.37546468401487e-05;0;185;185
1.3828996282527882e-05;0;186;186
1.3903345724907065e-05;0;187;187
1.3977695167286247e-05;0;188;188
1.4052044609665429e-05;0;189;189
1.4126394052044612e-05;0;190;190
1.4200743494423792e-05;0;191;191
1.4275092936802974e-05;0;192;192
1.4349442379182158e-05;0;193;193
1.442379182156134e-05;0;194;194
1.4498141263940521e-05;0;195;195
